58705.5,58742.7,58660,58660
58660,58794,58648.3,58730
58730,58740,58688.2,58728.9
58728.9,58770.4,58728,58732
58732,58770,58722.5,58722.5
58722.5,58747.8,58675.4,58675.4
58675.4,58675.4,58552.5,58582.9
58582.9,58637,58582.9,58611.8
58611.8,58611.8,58513.8,58513.8
58513.8,58605.8,58510,58596
58596,58639.3,58586,58639.3
58639.3,58662.4,58625.2,58652.1
58652.1,58664,58586,58586.9
58586.9,58615.1,58525.1,58588.7
58588.7,58639.4,58588.7,58614
58614,58654,58612.8,58640
58640,58740,58640,58696.4
58696.4,58742.1,58696.4,58722.6
58722.6,58748.2,58654,58736
58736,58806.9,58706.7,58782.6
58782.6,58782.6,58694,58702
58702,58702,58650,58654.9
58654.9,58654.9,58513.8,58530
58530,58598,58518.9,58596.6
58596.6,58612,58580,58600
58600,58630,58573.7,58618
58618,58621.9,58543.1,58555
58555,58622,58555,58608
58608,58627.6,58567.7,58568
58568,58650,58555,58626.4
58626.4,58626.4,58594,58610
58610,58660,58604,58627.4
58627.4,58644,58578.7,58644
58644,58653.8,58616,58616
58616,58638.5,58571.4,58638.5
58638.5,58638.5,58586,58586
58586,58612,58572,58612
58612,58650.1,58589.4,58650
58650,58664,58620,58636
58636,58658,58606,58624.7
58624.7,58726.1,58624.7,58726
58726,58750.7,58660,58661.9
58661.9,58718.9,58608,58646
58646,58685,58520,58520
58520,58552,58406,58440
58440,58440,58310,58394
58394,58575.7,58394,58505.3
58505.3,58505.3,58436,58436
58436,58484,58430,58484
58484,58518,58472,58494
58494,58618,58494,58548.1
58548.1,58586,58548,58576
58576,58584,58390,58390
58390,58390,58238.9,58293.5
58293.5,58298,57800.2,58169.8
58169.8,58347.4,58030.8,58291.5
58291.4,58399,58198,58225.5
58225.5,58400,58197.6,58352.9
58352.9,58569,58334.7,58462
58462,58933,58462,58764
58764,58998.4,58728,58900.4
58900.2,59022.8,58762.4,58794
58794,58831.5,58720,58831.5
58831.5,58889.9,58766.9,58770.6
58770.6,58834,58750,58775.3
58775.3,58775.3,58663.9,58704
58704,58865.8,58704,58798
58798,58889.2,58780,58840
58840,59031.6,58828,58924.7
58924.7,59004.1,58900,58947.9
58948,59066.4,58921.3,59000
59000,59086.9,58994,59044.9
59044.9,59159.2,58996.6,59140.1
59140.1,59171.6,59008,59080.4
59080.4,59120.7,59021.3,59120.7
59120.7,59129.9,59082.8,59085
59085,59090,59017.1,59025.7
59025.7,59119.7,59025.7,59056
59056,59056,58996,58999.2
58999.2,59003.2,58906,58919.8
58919.8,58933,58885.8,58888.7
58888.7,58954.3,58886.2,58924
58924,58933,58850,58906
58906,59148.4,58906,59006.6
59006.6,59023.6,58934.5,58939.2
58939.2,59048,58934,58990.6
58990.5,59314.5,58981.3,59280.7
